name,release_date,rating,rating_top,metacritic,playtime,genres
Metroid Prime,2002-11-17,4.38,5,97.0,2,"Shooter, Adventure, Action"
Grand Theft Auto: Vice City,2002-10-27,4.45,5,94.0,2,Action
Pro Evolution Soccer 2,2002-04-25,3.88,5,93.0,0,"Simulation, Sports"
Soul Calibur II,2002-07-05,4.24,4,92.0,0,Fighting
Eternal Darkness: Sanity's Requiem,2002-06-23,4.37,5,92.0,0,"Adventure, Action"
Super Mario Sunshine,2002-08-25,4.29,5,92.0,0,"Platformer, Adventure, Action"
Metroid Fusion,2002-11-17,4.38,5,92.0,14,"Platformer, Action"
Warcraft 3: Reign of Chaos,2002-06-01,4.46,5,92.0,0,Strategy
Soul Caliber 2,2002-07-05,0.0,0,92.0,0,Fighting
Medal of Honor: Allied Assault,2002-01-22,4.16,4,91.0,0,Shooter
Tom Clancy's Splinter Cell,2002-11-17,4.17,4,91.0,2,"Adventure, Action"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002-10-01,4.3,4,91.0,0,"Shooter, Action"
Tony Hawk's Pro Skater 4,2002-10-23,4.23,4,91.0,40,"Arcade, Sports"
TimeSplitters 2,2002-10-09,4.35,5,90.0,0,Shooter
Freedom Force,2002-03-25,3.4,4,90.0,1,"Strategy, Action, RPG"
Battlefield 1942,2002-09-10,4.15,4,89.0,1,"Shooter, Action"
The Elder Scrolls III: Morrowind,2002-05-01,4.37,5,89.0,2,RPG
Star Wars Jedi Knight II: Jedi Outcast,2002-03-01,4.19,5,89.0,1,"Shooter, Adventure, Action"
Age of Mythology,2002-11-01,4.28,4,89.0,4,Strategy
Medieval: Total War,2002-08-30,4.36,5,88.0,1,Strategy
Medal of Honor: Frontline,2002-05-28,3.89,4,88.0,0,Shooter
Burnout 2: Point of Impact,2002-09-30,4.03,4,88.0,25,"Racing, Arcade"
Ratchet & Clank (2002),2002-11-04,4.35,4,88.0,0,"Platformer, Action"
Mafia: The City of Lost Heaven,2002-08-28,4.36,5,88.0,2,Action
Resident Evil (2002),2002-03-22,4.37,5,88.0,1,Action
Hitman 2: Silent Assassin,2002-10-01,3.92,4,87.0,1,"Shooter, Action"
Dead or Alive 3,2002-02-22,3.86,3,87.0,0,Fighting
Castlevania: Harmony of Dissonance,2002-09-16,3.9,4,87.0,0,"Platformer, Action"
Age of Wonders II: The Wizard's Throne,2002-06-12,3.6,4,86.0,1,"Strategy, RPG"
Sly Cooper and the Thievius Raccoonus,2002-09-23,4.14,4,86.0,1,"Adventure, Action"
Dungeon Siege,2002-04-05,3.95,4,86.0,1,RPG
Suikoden III,2002-10-24,4.31,4,86.0,0,RPG
