appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
2071280,Ravenswatch,Passtech Games,Nacon,,5218,1346,0,"200,000 .. 500,000",1396,451,1739,451,1999,1999,0,853
287630,The Council,Big Bad Wolf,Focus Entertainment,,4016,771,0,"200,000 .. 500,000",417,0,202,0,0,0,0,17
34470,Sid Meier's Civilization IV: Colonization,Firaxis Games,2K,,358,104,0,"200,000 .. 500,000",0,0,0,0,1999,1999,0,0
2360,Hexen: Beyond Heretic,Raven Software,id Software,,553,75,0,"200,000 .. 500,000",44,0,44,0,149,499,70,4
388160,Project Druid - 2D Labyrinth Explorer-,Cemil Tasdemir,Back To Basics Gaming,,43,124,0,"200,000 .. 500,000",268,0,268,0,199,199,0,1
848480,Creeper World 4,Knuckle Cracker,Knuckle Cracker,,3515,171,0,"200,000 .. 500,000",1511,0,1465,0,2499,2499,0,182
747200,Keplerth,TARO,Gamera Games,,3257,560,0,"200,000 .. 500,000",1834,0,3398,0,1499,1499,0,36
1330460,Becastled,Mana Potion Studios,Mana Potion Studios,,3740,747,0,"200,000 .. 500,000",694,0,694,0,1199,1499,20,60
929490,RAM Pressure,"QuadCom Interactive, GDT",GDT,,445,486,0,"200,000 .. 500,000",0,0,0,0,0,0,0,14
1911390,Knightfall: A Daring Journey,Landfall,Landfall,,5082,621,0,"200,000 .. 500,000",296,0,166,0,599,599,0,9
1058650,Beyond The Wire,Redstone Interactive,Offworld Industries,,4725,2536,0,"200,000 .. 500,000",54,0,60,0,999,999,0,3
1286580,Ship of Fools,Fika Productions,Team17,,2722,706,0,"200,000 .. 500,000",768,0,961,0,1099,2199,50,182
359100,Q.U.B.E. 2,Toxic Games,Trapped Nerve Games,,1323,249,0,"200,000 .. 500,000",142,0,268,0,1249,2499,50,4
1412510,仙剑奇侠传九野,软星科技（上海）有限公司,"SOFTSTAR TECHNOLOGY (SHANGHAI) CO., LTD",,1186,424,0,"200,000 .. 500,000",0,0,0,0,0,0,0,3
201420,Toki Tori 2+,Two Tribes,Two Tribes,,834,145,0,"200,000 .. 500,000",402,0,602,0,1499,1499,0,3
302010,The Blue Flamingo,Might and Delight,Might and Delight,,281,337,0,"200,000 .. 500,000",185,0,226,0,999,999,0,0
1393350,Swaying Girl,Wet Girl,Shoot Girl,,4339,513,0,"200,000 .. 500,000",32,0,22,0,49,99,51,21
360640,12 Labours of Hercules II: The Cretan Bull,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,,1853,205,0,"200,000 .. 500,000",701,0,724,0,299,299,0,5
633060,Orwell: Ignorance is Strength,Osmotic Studios,Fellow Traveller,,1235,381,0,"200,000 .. 500,000",334,0,334,0,299,999,70,3
204120,LEGO Harry Potter: Years 5-7,Traveller's Tales,Warner Bros. Interactive Entertainment,,2481,307,0,"200,000 .. 500,000",1268,0,1268,0,1999,1999,0,83
907650,Stronghold: Warlords,FireFly Studios,FireFly Studios,,2865,1543,0,"200,000 .. 500,000",0,0,0,0,799,3999,80,146
63700,BIT.TRIP BEAT,Gaijin Games,Gaijin Games,,681,162,0,"200,000 .. 500,000",1015,0,1503,0,999,999,0,1
465760,Scrap Garden,"Egidijus Bachur, Alexey Davydov",Flazm,,874,285,0,"200,000 .. 500,000",372,0,450,0,999,999,0,2
404540,Nex Machina,Housemarque,Housemarque,,1772,265,0,"200,000 .. 500,000",20,0,21,0,1999,1999,0,5
1016600,Devil Slayer - Raksasi,GlassesCatGames,"GlassesCatGames, indienova",,2343,407,0,"200,000 .. 500,000",244,0,395,0,1499,1499,0,5
1205520,Pentiment,Obsidian Entertainment,Xbox Game Studios,,4820,242,0,"200,000 .. 500,000",14,0,14,0,1199,1999,40,119
226620,Desktop Dungeons,QCF Design,QCF Design,,1791,325,0,"200,000 .. 500,000",185,0,197,0,1499,1499,0,24
1956800,Thriving City: Song,White Star Studio,IndieArk,,1596,316,0,"200,000 .. 500,000",0,0,0,0,1899,1899,0,209
994930,Soccer Manager 2019,Soccer Manager Ltd,Soccer Manager Ltd,,543,169,0,"200,000 .. 500,000",952,0,1419,0,0,0,0,8
1608070,CRISIS CORE –FINAL FANTASY VII– REUNION,"Square Enix, TOSE CO., LTD.",Square Enix,,4865,474,0,"200,000 .. 500,000",0,0,0,0,4999,4999,0,166
485450,Ninja Stealth,SC Jogos,SC Jogos,,1042,471,0,"200,000 .. 500,000",222,0,403,0,99,99,0,3
73170,Darkest Hour: A Hearts of Iron Game,Martin Ivanov,Paradox Interactive,,1730,198,0,"200,000 .. 500,000",0,0,0,0,999,999,0,141
606500,HellSign,Ballistic Interactive,Ballistic Interactive,,1472,662,0,"200,000 .. 500,000",0,0,0,0,1999,1999,0,2
1227800,Quantum League - Free Open Beta,Nimble Giant Entertainment,Nimble Giant Entertainment,,550,219,0,"200,000 .. 500,000",68,0,68,0,0,0,0,0
312150,Wild Warfare,Hyper Hippo Games,Hyper Hippo Games,,686,312,0,"200,000 .. 500,000",26,0,35,0,0,0,0,0
343740,InMind VR,Luden.io,Luden.io,,336,91,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1
63910,King's Bounty: Crossworlds,Katauri Interactive,Fulqrum Publishing,,1166,104,0,"200,000 .. 500,000",404,0,805,0,1499,1499,0,129
1732190,FATAL FRAME / PROJECT ZERO: Maiden of Black Water,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,4238,986,0,"200,000 .. 500,000",0,0,0,0,3999,3999,0,28
1580520,Lost Eidolons,"Ocean Drive Studio, Inc.","Ocean Drive Studio, Inc.",,1035,376,0,"200,000 .. 500,000",0,0,0,0,3499,3499,0,20
369070,Slain: Back from Hell,Steel Mantis,Digerati,,1567,621,0,"200,000 .. 500,000",169,0,235,0,1299,1299,0,4
503350,White Noise 2,Milkstone Studios,Milkstone Studios,,2252,581,0,"200,000 .. 500,000",73,0,108,0,999,999,0,0
