name,release_date,rating,metacritic,playtime,genres
Portal 2,2011-04-18,4.61,95.0,11,"Shooter, Puzzle"
The Elder Scrolls V: Skyrim,2011-11-11,4.42,94.0,46,"Action, RPG"
Terraria,2011-05-16,4.06,81.0,14,"Platformer, Indie, Action"
Saints Row: The Third,2011-11-15,3.95,84.0,14,"Adventure, Action"
L.A. Noire,2011-05-17,4.17,83.0,7,"Adventure, Action"
Bastion,2011-07-20,4.15,86.0,4,"Indie, Adventure, Action, RPG"
Total War: SHOGUN 2,2011-03-14,3.61,90.0,5,Strategy
Dead Island,2011-09-06,3.47,74.0,7,"Shooter, Action, RPG"
Magicka,2011-01-25,3.8,74.0,5,"Action, RPG"
The Binding of Isaac,2011-09-28,3.9,84.0,5,"Indie, Action, RPG"
Dead Space 2,2011-01-25,4.37,87.0,5,"Shooter, Action"
Uncharted 3: Drake's Deception,2011-11-01,4.37,92.0,12,"Adventure, Action"
Batman: Arkham City,2011-10-18,4.42,94.0,20,Action
Homefront,2011-03-15,2.95,70.0,2,Shooter
Call of Duty: Modern Warfare 3,2011-11-08,3.77,85.0,8,"Shooter, Action"
Deus Ex: Human Revolution,2011-08-22,4.37,89.0,17,"Action, RPG"
To the Moon,2011-01-10,4.29,81.0,4,"Indie, Adventure, RPG"
PAYDAY The Heist,2011-10-18,3.34,76.0,4,"Shooter, Action"
"Warhammer 40,000: Space Marine",2011-09-05,3.46,74.0,5,"Shooter, Action"
Tropico 4,2011-08-24,3.5,78.0,4,"Strategy, Simulation"
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,3.25,76.0,4,Action
Serious Sam 3: BFE,2011-11-22,3.45,72.0,4,"Shooter, Indie, Action"
F.E.A.R. 3,2011-03-25,3.35,74.0,3,"Shooter, Action"
Battlefield 3,2011-10-25,4.07,86.0,4,"Shooter, Action"
Crysis 2 - Maximum Edition,2011-03-22,3.72,,2,Action
Assassin's Creed Revelations,2011-11-15,3.98,80.0,14,"Adventure, Action"
Shadow of the Colossus (2011),2011-09-22,4.25,91.0,3,Action
Rage,2011-10-03,3.42,79.0,5,"Shooter, Action"
Red Faction: Armageddon,2011-06-07,3.03,75.0,2,"Shooter, Action"
Sonic Generations,2011-11-01,3.9,77.0,2,"Family, Platformer, Arcade, Action"
Outland,2011-04-26,2.89,83.0,3,"Indie, Platformer, Adventure, Action"
Galactic Civilizations II: Ultimate Edition,2011-12-02,2.66,92.0,1,Strategy
Renegade Ops,2011-09-13,2.98,76.0,2,"Shooter, Action"
SpaceChem,2011-01-01,3.09,84.0,2,"Strategy, Indie, Simulation, Puzzle"
Rayman Origins,2011-11-15,4.13,86.0,2,"Family, Platformer, Arcade, Action"
Bulletstorm,2011-02-22,4.08,83.0,4,"Shooter, Action"
Orcs Must Die!,2011-10-05,3.7,83.0,3,"Strategy, Indie, Action"
Anomaly: Warzone Earth,2011-04-07,2.92,80.0,2,"Strategy, Indie, Action, Simulation"
Lord of the Rings: War in the North,2011-11-01,3.34,66.0,3,"Action, RPG"
Dark Souls,2011-09-22,4.34,89.0,48,"Action, RPG"
Duke Nukem Forever,2011-06-09,2.87,54.0,3,"Shooter, Action"
Alice: Madness Returns,2011-06-14,4.01,75.0,3,"Adventure, Action"
Dino D-Day,2011-04-08,2.4,53.0,3,"Indie, Action"
Catherine,2011-02-17,4.14,80.0,4,"Adventure, Action, RPG, Puzzle"
Superbrothers: Sword & Sworcery,2011-03-24,3.5,,1,"Indie, Adventure, RPG"
Dragon Age 2,2011-03-08,3.84,81.0,10,"Adventure, Action, RPG"
Brink,2011-05-09,2.71,70.0,2,"Shooter, Action"
DiRT 3,2011-05-24,3.67,87.0,2,"Racing, Arcade, Sports"
"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,3.81,80.0,7,"Strategy, RPG"
Gears of War 3,2011-09-20,4.2,91.0,16,Shooter
Star Wars: The Old Republic,2011-12-20,3.85,85.0,5,"Massively Multiplayer, RPG"
Dungeon Siege 3,2011-05-31,3.11,72.0,2,"Action, RPG"
Crysis 2,2011-03-22,3.84,85.0,13,"Shooter, Action"
Sanctum,2011-04-15,3.28,70.0,2,"Shooter, Action, Casual, Strategy, Indie"
The Tiny Bang Story,2011-04-21,3.13,63.0,4,"Adventure, Puzzle, Casual, Family, Indie"
Stacking,2011-02-07,3.35,80.0,3,"Adventure, Action, RPG, Puzzle, Indie"
Frozen Synapse,2011-05-25,3.27,85.0,2,"Strategy, Indie, Action"
APB Reloaded,2011-12-06,2.31,,3,"Shooter, Massively Multiplayer, Action"
Sonic CD,2011-12-14,3.66,,1,"Adventure, Action"
inFAMOUS 2,2011-06-07,4.13,83.0,13,"Adventure, Action"
Jamestown: Legend of the Lost Colony,2011-06-08,3.32,81.0,1,"Indie, Arcade, Action"
Rocketbirds: Hardboiled Chicken,2011-10-18,3.08,74.0,3,"Indie, Adventure"
Puzzle Agent 2,2011-06-29,3.32,63.0,3,"Casual, Adventure, Puzzle"
Edna & Harvey: Harvey's New Eyes,2011-08-26,3.27,75.0,3,"Indie, Adventure, RPG, Puzzle"
Worms Ultimate Mayhem,2011-09-18,3.69,66.0,2,"Strategy, Action"
Really Big Sky,2011-06-29,2.37,,2,"Indie, Action"
Back to the Future: The Game - Episode 2. Get Tannen,2011-02-17,3.19,,3,Adventure
Back to the Future: The Game - Episode 4. Double Visions,2011-04-29,3.15,,3,Adventure
Back to the Future: The Game - Episode 3. Citizen Brown,2011-03-05,3.19,,3,Adventure
Back to the Future: The Game - Episode 5. OUTATIME,2011-06-23,3.16,,3,Adventure
Unepic,2011-09-29,3.98,68.0,4,"Platformer, Indie, Action, RPG"
Treasure Adventure Game,2011-11-25,1.97,,1,"Adventure, Action, RPG, Indie, Platformer"
FINAL FANTASY XIII-2,2011-12-15,3.55,,4,RPG
LEGO Harry Potter: Years 5-7,2011-11-11,3.69,80.0,4,Action
E.Y.E: Divine Cybermancy,2011-07-29,3.14,,5,"Shooter, Indie, Action, RPG"
Spiral Knights,2011-04-04,2.87,64.0,2,Massively Multiplayer
BEEP,2011-03-30,1.94,,3,"Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie"
Trine 2,2011-12-07,3.94,,3,"Platformer, Arcade, Action"
NightSky,2011-01-06,2.71,78.0,1,"Action, Puzzle, Casual, Strategy, Indie"
Operation Flashpoint: Red River,2011-04-19,2.66,67.0,1,"Shooter, Strategy, Action"
Dungeons of Dredmor,2011-07-13,3.46,79.0,3,"Indie, RPG"
LittleBigPlanet 2,2011-01-18,4.08,,5,"Arcade, Action"
Cthulhu Saves the World,2011-07-13,2.98,78.0,3,"Indie, Adventure, RPG"
Capsized,2011-04-28,2.8,80.0,1,"Indie, Platformer, Adventure, Action"
Rochard,2011-11-15,3.09,81.0,1,"Casual, Indie, Action"
Space Pirates and Zombies,2011-08-14,3.11,74.0,2,"Strategy, Indie, Action, RPG"
Grimm - GameClub,2011-01-04,1.94,,0,"Indie, Adventure, Action, Puzzle"
Uncharted: Golden Abyss,2011-12-17,3.81,80.0,16,"Adventure, Action"
Rock of Ages,2011-08-31,3.51,74.0,2,"Racing, Strategy, Platformer, Action"
RIFT,2011-03-01,2.96,84.0,4,"Adventure, Action, RPG, Strategy, Massively Multiplayer"
Breath of Death VII,2011-07-13,2.68,,1,"Indie, RPG"
Serious Sam: The Random Encounter,2011-10-24,2.65,64.0,1,"Indie, Action, RPG"
DC Universe Online,2011-01-11,2.95,72.0,5,"Massively Multiplayer, Adventure, Action, RPG"
LEGO Star Wars III - The Clone Wars,2011-03-21,3.75,76.0,3,"Arcade, Family, Adventure, Action"
Ni no Kuni: Wrath of the White Witch,2011-11-17,4.19,84.0,47,RPG
Serious Sam Double D XXL,2011-08-30,2.68,67.0,1,"Shooter, Indie, Action"
Driver San Francisco,2011-09-01,3.77,80.0,4,"Racing, Arcade, Action"
Dead Rising 2: Off the Record,2011-04-13,3.5,66.0,5,"Adventure, Action"
Gemini Rue,2011-02-23,3.67,82.0,2,"Indie, Adventure, RPG"
Universe Sandbox,2011-04-29,3.02,83.0,2,"Casual, Indie, Simulation"
Worms Crazy Golf,2011-10-18,2.57,73.0,1,"Action, Puzzle, Casual, Strategy, Arcade, Sports"
Hector: Badge of Carnage - Full Series,2011-04-27,2.48,75.0,4,"Casual, Adventure"
Jetpack Joyride,2011-09-01,3.57,90.0,5,"Arcade, Casual, Adventure, Action"
ARMA: Gold Edition,2011-07-13,2.65,,1,"Strategy, Action, Simulation"
STREET FIGHTER X TEKKEN,2011-09-05,3.32,81.0,4,"Action, Fighting"
Steel Storm: Burning Retribution,2011-05-11,2.0,55.0,4,"Indie, Action"
Worms Pinball,2011-10-19,2.05,,1,Casual
The King of Fighters XIII,2011-11-18,3.63,,4,"Arcade, Action, Fighting"
Men of War: Assault Squad,2011-02-23,3.67,77.0,2,Strategy
Kingdom Rush,2011-12-19,4.15,,4,"Strategy, Indie, Action"
Ultimate Marvel vs. Capcom 3,2011-11-15,3.86,,2,Fighting
Atom Zombie Smasher,2011-03-14,2.97,75.0,1,"Strategy, Indie"
Solar 2,2011-06-17,3.18,72.0,2,"Casual, Indie, Action, Simulation"
FIFA 12,2011-09-27,3.43,85.0,0,Sports
Might & Magic: Heroes VI,2011-10-13,3.41,77.0,9,"Strategy, RPG"
Insanely Twisted Shadow Planet,2011-08-03,3.6,76.0,1,"Indie, Shooter, Adventure, Action"
Dwarfs!?,2011-05-04,2.34,,1,"Casual, Strategy, Indie"
DETOUR,2011-05-16,1.68,,3,"Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie"
From Dust,2011-07-27,3.44,76.0,2,"Strategy, Adventure, Simulation"
